id,pkg,github,split,file,qualname,rule_first,ver_first,ver_last,n_versions_observed,label,days_span,fixed_ver_before,fixed_ver_after,signals_added,attribution_status,attributed_pr,attributed_commit_url,commits_in_window
deepteam:0.2.7:metrics/agentic/extraction_success/extraction_success.py:ExtractionSuccessMetric._a_evaluate:1bf122185a1f78f7,deepteam,confident-ai/deepteam,held-out,metrics/agentic/extraction_success/extraction_success.py,ExtractionSuccessMetric._a_evaluate,,0.2.7,1.0.9,4,SURVIVED,303.2,,,,,,,
deepteam:0.2.7:metrics/agentic/extraction_success/extraction_success.py:ExtractionSuccessMetric.a_generate_purpose:53e294f9e79441ec,deepteam,confident-ai/deepteam,held-out,metrics/agentic/extraction_success/extraction_success.py,ExtractionSuccessMetric.a_generate_purpose,,0.2.7,1.0.9,4,SURVIVED,303.2,,,,,,,
deepteam:0.2.7:metrics/agentic/extraction_success/extraction_success.py:ExtractionSuccessMetric.evaluate:062fa2a202e11736,deepteam,confident-ai/deepteam,held-out,metrics/agentic/extraction_success/extraction_success.py,ExtractionSuccessMetric.evaluate,,0.2.7,1.0.9,4,SURVIVED,303.2,,,,,,,
deepteam:0.2.7:metrics/agentic/extraction_success/extraction_success.py:ExtractionSuccessMetric.generate_purpose:8f5a465d08cdcc29,deepteam,confident-ai/deepteam,held-out,metrics/agentic/extraction_success/extraction_success.py,ExtractionSuccessMetric.generate_purpose,,0.2.7,1.0.9,4,SURVIVED,303.2,,,,,,,
deepteam:0.1.7:metrics/agentic/extraction_success/extraction_success.py:ExtractionSuccessMetric.is_successful:0245c88b4c5cc5a1,deepteam,confident-ai/deepteam,held-out,metrics/agentic/extraction_success/extraction_success.py,ExtractionSuccessMetric.is_successful,silent-fallback,0.1.7,1.0.9,6,SURVIVED,406.5,,,,,,,
deepteam:0.1.7:metrics/agentic/goal_drift/goal_drift.py:GoalDriftMetric.__init__:34d4e675ec36b4ed,deepteam,confident-ai/deepteam,held-out,metrics/agentic/goal_drift/goal_drift.py,GoalDriftMetric.__init__,silent-fallback,0.1.7,1.0.9,6,SURVIVED,406.5,,,,,,,
deepteam:0.2.7:metrics/agentic/goal_drift/goal_drift.py:GoalDriftMetric._a_evaluate:1bf122185a1f78f7,deepteam,confident-ai/deepteam,held-out,metrics/agentic/goal_drift/goal_drift.py,GoalDriftMetric._a_evaluate,,0.2.7,1.0.9,4,SURVIVED,303.2,,,,,,,
deepteam:0.2.7:metrics/agentic/goal_drift/goal_drift.py:GoalDriftMetric.a_generate_purpose:53e294f9e79441ec,deepteam,confident-ai/deepteam,held-out,metrics/agentic/goal_drift/goal_drift.py,GoalDriftMetric.a_generate_purpose,,0.2.7,1.0.9,4,SURVIVED,303.2,,,,,,,
deepteam:0.2.7:metrics/agentic/goal_drift/goal_drift.py:GoalDriftMetric.evaluate:062fa2a202e11736,deepteam,confident-ai/deepteam,held-out,metrics/agentic/goal_drift/goal_drift.py,GoalDriftMetric.evaluate,,0.2.7,1.0.9,4,SURVIVED,303.2,,,,,,,
deepteam:0.2.7:metrics/agentic/goal_drift/goal_drift.py:GoalDriftMetric.generate_purpose:8f5a465d08cdcc29,deepteam,confident-ai/deepteam,held-out,metrics/agentic/goal_drift/goal_drift.py,GoalDriftMetric.generate_purpose,,0.2.7,1.0.9,4,SURVIVED,303.2,,,,,,,
deepteam:0.1.7:metrics/agentic/goal_drift/goal_drift.py:GoalDriftMetric.is_successful:0245c88b4c5cc5a1,deepteam,confident-ai/deepteam,held-out,metrics/agentic/goal_drift/goal_drift.py,GoalDriftMetric.is_successful,silent-fallback,0.1.7,1.0.9,6,SURVIVED,406.5,,,,,,,
deepteam:0.1.7:metrics/agentic/hallucination_detection/hallucination_detection.py:HallucinationDetectionMetric.__init__:34d4e675ec36b4ed,deepteam,confident-ai/deepteam,held-out,metrics/agentic/hallucination_detection/hallucination_detection.py,HallucinationDetectionMetric.__init__,silent-fallback,0.1.7,1.0.9,6,SURVIVED,406.5,,,,,,,
deepteam:0.2.7:metrics/agentic/hallucination_detection/hallucination_detection.py:HallucinationDetectionMetric._a_evaluate:1bf122185a1f78f7,deepteam,confident-ai/deepteam,held-out,metrics/agentic/hallucination_detection/hallucination_detection.py,HallucinationDetectionMetric._a_evaluate,,0.2.7,1.0.9,4,SURVIVED,303.2,,,,,,,
deepteam:0.2.7:metrics/agentic/hallucination_detection/hallucination_detection.py:HallucinationDetectionMetric.a_generate_purpose:53e294f9e79441ec,deepteam,confident-ai/deepteam,held-out,metrics/agentic/hallucination_detection/hallucination_detection.py,HallucinationDetectionMetric.a_generate_purpose,,0.2.7,1.0.9,4,SURVIVED,303.2,,,,,,,
deepteam:0.2.7:metrics/agentic/hallucination_detection/hallucination_detection.py:HallucinationDetectionMetric.evaluate:062fa2a202e11736,deepteam,confident-ai/deepteam,held-out,metrics/agentic/hallucination_detection/hallucination_detection.py,HallucinationDetectionMetric.evaluate,,0.2.7,1.0.9,4,SURVIVED,303.2,,,,,,,
deepteam:0.2.7:metrics/agentic/hallucination_detection/hallucination_detection.py:HallucinationDetectionMetric.generate_purpose:8f5a465d08cdcc29,deepteam,confident-ai/deepteam,held-out,metrics/agentic/hallucination_detection/hallucination_detection.py,HallucinationDetectionMetric.generate_purpose,,0.2.7,1.0.9,4,SURVIVED,303.2,,,,,,,
deepteam:0.1.7:metrics/agentic/hallucination_detection/hallucination_detection.py:HallucinationDetectionMetric.is_successful:0245c88b4c5cc5a1,deepteam,confident-ai/deepteam,held-out,metrics/agentic/hallucination_detection/hallucination_detection.py,HallucinationDetectionMetric.is_successful,silent-fallback,0.1.7,1.0.9,6,SURVIVED,406.5,,,,,,,
deepteam:0.1.7:metrics/agentic/hierarchy_consistency/hierarchy_consistency.py:HierarchyConsistencyMetric.__init__:34d4e675ec36b4ed,deepteam,confident-ai/deepteam,held-out,metrics/agentic/hierarchy_consistency/hierarchy_consistency.py,HierarchyConsistencyMetric.__init__,silent-fallback,0.1.7,1.0.9,6,SURVIVED,406.5,,,,,,,
deepteam:0.2.7:metrics/agentic/hierarchy_consistency/hierarchy_consistency.py:HierarchyConsistencyMetric._a_evaluate:1bf122185a1f78f7,deepteam,confident-ai/deepteam,held-out,metrics/agentic/hierarchy_consistency/hierarchy_consistency.py,HierarchyConsistencyMetric._a_evaluate,,0.2.7,1.0.9,4,SURVIVED,303.2,,,,,,,
deepteam:0.2.7:metrics/agentic/hierarchy_consistency/hierarchy_consistency.py:HierarchyConsistencyMetric.a_generate_purpose:53e294f9e79441ec,deepteam,confident-ai/deepteam,held-out,metrics/agentic/hierarchy_consistency/hierarchy_consistency.py,HierarchyConsistencyMetric.a_generate_purpose,,0.2.7,1.0.9,4,SURVIVED,303.2,,,,,,,
deepteam:0.2.7:metrics/agentic/hierarchy_consistency/hierarchy_consistency.py:HierarchyConsistencyMetric.evaluate:062fa2a202e11736,deepteam,confident-ai/deepteam,held-out,metrics/agentic/hierarchy_consistency/hierarchy_consistency.py,HierarchyConsistencyMetric.evaluate,,0.2.7,1.0.9,4,SURVIVED,303.2,,,,,,,
deepteam:0.2.7:metrics/agentic/hierarchy_consistency/hierarchy_consistency.py:HierarchyConsistencyMetric.generate_purpose:8f5a465d08cdcc29,deepteam,confident-ai/deepteam,held-out,metrics/agentic/hierarchy_consistency/hierarchy_consistency.py,HierarchyConsistencyMetric.generate_purpose,,0.2.7,1.0.9,4,SURVIVED,303.2,,,,,,,
deepteam:0.1.7:metrics/agentic/hierarchy_consistency/hierarchy_consistency.py:HierarchyConsistencyMetric.is_successful:0245c88b4c5cc5a1,deepteam,confident-ai/deepteam,held-out,metrics/agentic/hierarchy_consistency/hierarchy_consistency.py,HierarchyConsistencyMetric.is_successful,silent-fallback,0.1.7,1.0.9,6,SURVIVED,406.5,,,,,,,
deepteam:0.1.7:metrics/agentic/leakage_rate/leakage_rate.py:LeakageRateMetric.__init__:34d4e675ec36b4ed,deepteam,confident-ai/deepteam,held-out,metrics/agentic/leakage_rate/leakage_rate.py,LeakageRateMetric.__init__,silent-fallback,0.1.7,1.0.9,6,SURVIVED,406.5,,,,,,,
